Ref,Val,Package,PosX,PosY,Rot,Side
"C312","2nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",64.500000,-56.000000,-90.000000,top
"C405","1uF, 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",38.750001,-80.499999,-90.000000,top
"C406","1uF, 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",31.750001,-85.499999,-90.000000,top
"C407","10nF, 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",31.750001,-80.499999,90.000000,top
"D101","BAS70XY","SOT-666",31.750001,-101.999999,90.000000,top
"D202","BAS70XY","SOT-666",103.999999,-35.000000,90.000000,top
"D302","BAS70XY","SOT-666",52.000000,-35.000000,90.000000,top
"J101","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right",35.000000,-49.962500,0.000000,top
"J102","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Right",70.000000,-50.000000,0.000000,top
"J103","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right",87.000000,-50.000000,0.000000,top
"J104","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Right",122.000000,-50.000000,0.000000,top
"J107","Conn_01x05","PinSocket_1x05_P2.54mm_Vertical",93.950001,-122.724999,90.000000,top
"J108","Conn_01x07","PinSocket_1x07_P2.54mm_Vertical",91.380001,-87.499999,90.000000,top
"J110","Mini GPS","PinSocket_1x06_P2.54mm_Vertical",69.285787,-107.012892,180.000000,top
"J111","OLED","PinSocket_1x07_P2.54mm_Vertical",69.275001,-132.499999,180.000000,top
"J201","Conn_SMA","U.FL_Molex_MCRF_73412-0110_Vertical",107.250000,-68.750000,180.000000,top
"J202","Conn_SMA","U.FL_Molex_MCRF_73412-0110_Vertical",100.750001,-68.750000,180.000000,top
"J203","Conn_SMA","U.FL_Molex_MCRF_73412-0110_Vertical",120.250000,-68.749999,180.000000,top
"J204","Conn_SMA","U.FL_Molex_MCRF_73412-0110_Vertical",113.750000,-68.750000,180.000000,top
"J301","Conn_SMA","U.FL_Molex_MCRF_73412-0110_Vertical",55.250000,-68.750000,180.000000,top
"J302","Conn_SMA","U.FL_Molex_MCRF_73412-0110_Vertical",48.750000,-68.750000,180.000000,top
"J303","Conn_SMA","U.FL_Molex_MCRF_73412-0110_Vertical",68.250000,-68.750000,180.000000,top
"J304","Conn_SMA","U.FL_Molex_MCRF_73412-0110_Vertical",61.750000,-68.750000,180.000000,top
"R201","50","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",83.750000,-61.500000,0.000000,top
"R202","50","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",88.750001,-61.500000,0.000000,top
"R203","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",83.000000,-40.000001,180.000000,top
"R204","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",81.500000,-28.500001,180.000000,top
"R205","2.32k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.500000,-32.500001,0.000000,top
"R206","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.000000,-31.250000,90.000000,top
"R207","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.000000,-29.500000,90.000000,top
"R208","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.000000,-29.500000,90.000000,top
"R209","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.000000,-35.000000,90.000000,top
"R210","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.999999,-28.500000,0.000000,top
"R211","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.000000,-35.000000,90.000000,top
"R212","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.999999,-32.500000,0.000000,top
"R213","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",116.999999,-36.500000,-90.000000,top
"R301","50","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",31.750000,-61.500000,0.000000,top
"R302","50","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",36.750000,-61.500000,0.000000,top
"R303","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",31.000000,-40.000000,180.000000,top
"R304","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",29.500000,-28.500000,180.000000,top
"R305","2.32k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.500000,-32.500000,0.000000,top
"R306","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.000000,-31.250000,90.000000,top
"R307","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.000000,-29.500000,90.000000,top
"R308","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.000000,-29.500000,90.000000,top
"R309","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.000000,-35.000000,90.000000,top
"R310","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.000000,-28.500000,0.000000,top
"R311","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.000000,-35.000000,90.000000,top
"R312","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.000000,-32.500000,0.000000,top
"R313","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.000000,-36.500000,-90.000000,top
"R401","6.65k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.750001,-85.499999,-90.000000,top
"R402","147k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.250001,-80.499999,90.000000,top
"R403","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.250001,-85.499999,-90.000000,top
"SW101","Digital_Rotary_Encoder_Switch","PinSocket_1x05_P2.54mm_Vertical",61.290001,-79.749999,-90.000000,top
"U101","Teensy4.1","Teensy4.1",35.500001,-106.999999,90.000000,top
"U201","LT1807","MSOP-8_3x3mm_P0.65mm",89.500000,-39.500001,0.000000,top
"U202","LT1807","MSOP-8_3x3mm_P0.65mm",110.499999,-33.000000,0.000000,top
"U301","LT1807","MSOP-8_3x3mm_P0.65mm",37.500000,-39.500000,0.000000,top
"U302","LT1807","MSOP-8_3x3mm_P0.65mm",58.500000,-33.000000,0.000000,top
"U501","J1B12111CCD","RJ45_Cetus_J1B1211CCD_Horizontal",52.055001,-121.049999,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",76.000000,-65.000000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",76.000000,-35.000000,90.000000,top
