Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R304,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,29.5,-28.5,180,top
R305,2.32k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.5,-32.5,0,top
R306,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,40,-31.25,90,top
R307,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44,-29.5,90,top
R308,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48,-29.5,90,top
R309,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44,-35,90,top
R310,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,61,-28.5,0,top
R311,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48,-35,90,top
R312,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,66,-32.5,0,top
R313,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,65,-36.5,-90,top
R401,6.65k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.750001,-85.499999,-90,top
R402,147k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,35.250001,-80.499999,90,top
R403,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,35.250001,-85.499999,-90,top
SW101,Digital_Rotary_Encoder_Switch,PinSocket_1x05_P2.54mm_Vertical,61.290001,-79.749999,-90,top
U101,Teensy4.1,Teensy4.1,35.500001,-106.999999,90,top
U201,LT1807,MSOP-8_3x3mm_P0.65mm,89.5,-39.500001,0,top
U202,LT1807,MSOP-8_3x3mm_P0.65mm,110.499999,-33,0,top
U301,LT1807,MSOP-8_3x3mm_P0.65mm,37.5,-39.5,0,top
U302,LT1807,MSOP-8_3x3mm_P0.65mm,58.5,-33,0,top
U501,J1B12111CCD,RJ45_Cetus_J1B1211CCD_Horizontal,52.055001,-121.049999,0,top
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot,76,-65,90,top
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot,76,-35,90,top
